max,min,mean,median,var,totalvar,auc,Xmax,Xmin,Xmean,Xmedian,Xvar,Xtotalvar,Xauc,Ymax,Ymin,Ymean,Ymedian,Yvar,Ytotalvar,Yauc,subcondition,subject,gesture
4715,4464,4589.875,4591,2396.566456,4356,367190,3.559573078,3.454114606,3.507136312,3.505763019,0.0003076678265,1.426956661,280.570905,3.537701396,3.452698274,3.494036348,3.494181032,0.0002485360006,1.328976552,279.5229078,flat,P1,constant
4694,4496,4589.3375,4591,2083.517563,4326,367147,3.545756703,3.460061783,3.505818865,3.505869516,0.0003667150966,1.485678647,280.4655092,3.545978285,3.445258621,3.493350975,3.496751891,0.0003740730046,1.653208074,279.468078,flat,P1,constant
4690,4422,4587.0625,4588,2570.034019,4580,366965,3.550615152,3.468825202,3.503782731,3.501203023,0.0003736880495,1.593217863,280.3026185,3.538394224,3.447553941,3.493138557,3.495320943,0.0003327615119,1.425558163,279.4510845,flat,P1,constant
4711,4447,4596.0125,4602,2465.22769,4559,367681,3.552768166,3.464770524,3.506175486,3.502741326,0.000343853601,1.465633081,280.4940389,3.539226281,3.445518453,3.495588279,3.496837794,0.0003086742373,1.460164467,279.6470623,flat,P1,constant
4675,4438,4570.375,4566,2703.882911,4687,365630,3.550845596,3.461086957,3.506662993,3.506485796,0.0003600350802,1.543679026,280.5330394,3.547635059,3.468900569,3.503090481,3.503141024,0.0002582005824,1.434263685,280.2472385,flat,P1,constant
4664,4427,4565.275,4568.5,2334.40443,4168,365222,3.545135076,3.447177685,3.50332652,3.503134902,0.0003745535626,1.501463444,280.2661216,3.536028913,3.456858407,3.501362877,3.503355579,0.0003231065424,1.647073427,280.1090302,flat,P1,constant
4696,4400,4569.2,4570,3340.364557,5661,365536,3.556213018,3.462748525,3.506880011,3.507651442,0.0004170423408,1.848731233,280.5504009,3.537032893,3.462756849,3.503522209,3.502968632,0.0002656300293,1.39329109,280.2817767,flat,P1,constant
4684,4469,4577.0375,4576.5,2645.808703,4770,366163,3.558968851,3.455943749,3.504935774,3.505765404,0.0004295012073,1.56985843,280.3948619,3.562860951,3.453226505,3.50368891,3.503435301,0.0002956895007,1.382075874,280.2951128,flat,P1,constant
4664,4472,4569.225,4571.5,1848.784177,4011,365538,3.557755776,3.469477383,3.508819089,3.507519003,0.0003886784067,1.870152662,280.7055271,3.541565601,3.468015666,3.504402189,3.503781196,0.0002900606962,1.474544655,280.3521751,flat,P1,constant
4702,4420,4577.375,4570.5,2548.946203,4138,366190,3.559561129,3.450458315,3.505952942,3.508541669,0.0004244641464,1.705695066,280.4762354,3.548337371,3.472368421,3.503631996,3.501199038,0.0002312818598,1.230161443,280.2905597,flat,P1,constant
4702,4483,4578.125,4576,2006.161392,4132,366250,3.56133829,3.47198755,3.510797963,3.50847801,0.0003678509177,1.696038018,280.8638371,3.539588801,3.463318777,3.506169405,3.508355594,0.0002669456842,1.504007013,280.4935524,flat,P1,constant
